TelegramFileName,Type,Topic,SeriesName,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
AUDIO-2026-01-18-20-40-12.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,الصلاة بجامع الورودبحي الورود بجدة,الحادي عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,19/01/2026,Monday,N/A,Hadeeth,Manual-style (1),none
AUDIO-2026-01-19-18-59-34.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,الصلاة بجامع الورودبحي الورود بجدة,الثاني عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,19/01/2026,Monday,N/A,Hadeeth,Manual-style (1),none
AUDIO-2026-01-26-21-30-39.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,الصلاة بجامع الورودبحي الورود بجدة,الثالث عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,27/01/2026,Tuesday,N/A,Hadeeth,Manual-style (1),"Day mismatch: Tuesday (expected: Sunday, Monday)"
AUDIO-2026-02-01-22-03-01.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,الصلاة بجامع الورودبحي الورود بجدة,الرابع عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,02/02/2026,Monday,N/A,Hadeeth,Manual-style (1),none
AUDIO-2026-02-02-17-40-44.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,الصلاة بجامع الورودبحي الورود بجدة,الخامس عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,03/02/2026,Tuesday,N/A,Hadeeth,Manual-style (1),"Day mismatch: Tuesday (expected: Sunday, Monday)"
AUDIO-2026-01-21-21-52-57.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,الرضاع🔸 للعلامة أحمد بن يحي النجميرحمه الله🔹 الدرس الاول,الاول  عن,أحمد بن يحيى النجمي,Online,حسن بن محمد منصور الدغريري,Not Available,22/01/2026,Thursday,N/A,Hadeeth,Manual-style (1),Day mismatch: Thursday (expected: Wednesday)
AUDIO-2026-01-28-21-32-25.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,الرضاع🔸 للعلامة أحمد بن يحي النجميرحمه الله🔹 الدرس الثاني,الثاني  عن,أحمد بن يحيى النجمي,Online,حسن بن محمد منصور الدغريري,Not Available,29/01/2026,Thursday,N/A,Hadeeth,Manual-style (1),Day mismatch: Thursday (expected: Wednesday)
AUDIO-2026-01-18-20-41-26.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,التوحيد🔸 للعلامة صالح الفوزان حفظه الله🔹 الدرس الثاني والثلاثون بجامع الورودبحي الورورد بجدة,الثاني والثلاثون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,19/01/2026,Monday,N/A,Aqeedah,Manual-style (2),"Day mismatch: Monday (expected: Sunday, Tuesday)"
AUDIO-2026-01-20-16-42-37.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,التوحيد🔸 للعلامة صالح الفوزان حفظه الله🔹 الدرس الثالث والثلاثون بجامع الورودبحي الورورد بجدة,الثالث والثلاثون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,21/01/2026,Wednesday,N/A,Aqeedah,Manual-style (2),"Day mismatch: Wednesday (expected: Sunday, Tuesday)"
AUDIO-2026-01-27-16-46-05.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,التوحيد🔸 للعلامة صالح الفوزان حفظه الله🔹 الدرس الرابع والثلاثون بجامع الورودبحي الورورد بجدة,الرابع والثلاثون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,28/01/2026,Wednesday,N/A,Aqeedah,Manual-style (2),"Day mismatch: Wednesday (expected: Sunday, Tuesday)"
