TelegramFileName,Type,Topic,SeriesName,SequenceInSeries,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
AUDIO-2026-01-23-13-07-41.m4a,Khutba,الخطبة:تيسير تكاليف الزواجبجامع الورود حي الورود جدةلفضيلة الشيخ: حسن بن محمد منصور الدغريري – حفظه الله –🗓 التاريخ: الجمعة  ٤ / ٨ / ١٤٤٧ه‍⏱ مدة الصوتية: 11:24 دقيقة🔗 للاستماع عبر تيليجرام:╭─═━─━─━─━─━─━═─╮📥https://t.me/daririhasan/6251╰─═━─━─━─━─━─━═─╯🔗 رابط القناة على واتساب:╭─═━─━─━─━─━─━═─╮📲https://chat.whatsapp.com/DUvpoPZFcBk22nVL1nIrVg╰─═━─━─━─━─━─━═─╯📤 ساهم في نشر الخير، فالدال على الخير كفاعله ✅,Not Available,1,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٤ / ٨ / ١٤٤٧,23/01/2026,Friday,N/A,Other,Khutba Detection,none
AUDIO-2026-01-24-23-06-34.m4a,Unknown,Not Available,Not Available,2,Not Available,الأول بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,25/01/2026,Sunday,N/A,Other,Unmatched,Could not match to any series
AUDIO-2026-01-25-18-56-10.mp3,Unknown,Not Available,Not Available,3,Not Available,الأول بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,27/01/2026,Tuesday,N/A,Other,Unmatched,Could not match to any series
AUDIO-2026-01-30-13-06-37.m4a,Khutba,الخطبة:أعمال صالحة في شهر شعبان (١)بجامع الورود حي الورود جدةلفضيلة الشيخ: حسن بن محمد منصور الدغريري – حفظه الله –🗓 التاريخ: الجمعة  ١١ / ٨ / ١٤٤٧ه‍⏱ مدة الصوتية: 10:34 دقيقة🔗 للاستماع عبر تيليجرام:╭─═━─━─━─━─━─━═─╮📥https://t.me/daririhasan/6316╰─═━─━─━─━─━─━═─╯🔗 رابط القناة على واتساب:╭─═━─━─━─━─━─━═─╮📲https://chat.whatsapp.com/DUvpoPZFcBk22nVL1nIrVg╰─═━─━─━─━─━─━═─╯📤 ساهم في نشر الخير، فالدال على الخير كفاعله ✅,Not Available,4,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,١١ / ٨ / ١٤٤٧,30/01/2026,Friday,N/A,Other,Khutba Detection,none
AUDIO-2026-02-01-07-19-29.m4a,Unknown,Not Available,Not Available,5,Not Available,الثاني بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,01/02/2026,Sunday,N/A,Other,Unmatched,Could not match to any series
AUDIO-2026-02-01-10-15-46.m4a,Unknown,Not Available,Not Available,6,Not Available,الثاني بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,01/02/2026,Sunday,N/A,Other,Unmatched,Could not match to any series
AUDIO-2026-01-18-20-40-12.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,1,الصلاة بجامع الورودبحي الورود بجدة,الحادي عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,19/01/2026,Monday,N/A,Hadeeth,Manual-style (1),none
AUDIO-2026-01-19-18-59-34.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,2,الصلاة بجامع الورودبحي الورود بجدة,الثاني عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,19/01/2026,Monday,N/A,Hadeeth,Manual-style (1),none
AUDIO-2026-01-26-21-30-39.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,3,الصلاة بجامع الورودبحي الورود بجدة,الثالث عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,27/01/2026,Tuesday,N/A,Hadeeth,Manual-style (1),"Day mismatch: Tuesday (expected: Sunday, Monday)"
AUDIO-2026-02-01-22-03-01.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,4,الصلاة بجامع الورودبحي الورود بجدة,الرابع عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,02/02/2026,Monday,N/A,Hadeeth,Manual-style (1),none
