TelegramFileName,Type,Topic,SeriesName,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,doubtsStatus
مفاسد المظاهرات.m4a,Khutba,مفاسد المظاهرات,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,١٧ جمادى الآخرة ١٤٤٠هـ,03.10.2025,14:56,Other,none
Not Available,Series,Not Available,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,30 شعبان 1438ه,03.10.2025,Not Available,Other,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found
قناة مجالس العلم النافع – خطر المظاهرات في الإسلام,Lecture,خطر المظاهرات في الإسلام,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٢٠٢٥/١٠/٠٣,03.10.2025,18:58,Other,none
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب التوحيد,Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,07.10.2025,Not Available,Hadeeth,Type unclear - defaulted to Series; Serial number not found; Arabic date not found
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,Not Available,أحمد بن يحيى النجمي,Online,حسن بن محمد منصور الدغريري,Not Available,07.10.2025,Not Available,Hadeeth,Serial number not found; Arabic date not found
4_5992475423785622177 (1).mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب النكاح (١),الثاني والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,07.10.2025,13:34,Hadeeth,Arabic date not found
4_5996911497937164125.mp3,Khutba,حقوق كبار السن,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,الجمعة ٢٧/ ٠٣/ ١٤٤٧,08.10.2025,08:23,Other,none
4_5996911497937164163.mp3,Series,Not Available,التفسير الميسر,سورة الفاتحة,الاول,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,١٤ / ٣ / ١٤٤٧,08.10.2025,13:02,Other,none
4_5996911497937164203.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الأول,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٥ / ٣ / ١٤٤٧,08.10.2025,14:48,Aqeedah,none
4_5996911497937164265.mp3,Series,Not Available,الأفنان الندية,باب الربا,العاشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,08.10.2025,18:36,Fiqh,Arabic date not found
4_5996911497937164380.m4a,Series,Not Available,منظومة سلم الوصول,Not Available,الرابع,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,09.10.2025,26:56,Aqeedah,Arabic date not found
4_5996911497937164392.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب النكاح (٢),الثالث والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,09.10.2025,17:24,Hadeeth,Arabic date not found
4_5996911497937164379.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الثاني,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٧ / ٣ / ١٤٤٧,09.10.2025,11:47,Aqeedah,none
4_5999163297750849130.mp3,Series,Not Available,الملخص الفقهي,Not Available,الأول,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٦ / ٣ / ١٤٤٧,09.10.2025,11:05,Fiqh,none
4_5999163297750849343.mp3,Series,Not Available,التفسير الميسر,سورة النبأ,الثاني,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,٢١ / ٣ / ١٤٤٧,09.10.2025,17:29,Other,none
Mp3 Editor_251009191509.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الثالث,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٢ / ٣ / ١٤٤٧,09.10.2025,12:41,Aqeedah,none
Mp3 Editor_251010051137.mp3,Series,Not Available,الملخص الفقهي,Not Available,الثاني,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٨ / ٣ / ١٤٤٧,10.10.2025,10:03,Fiqh,none
4_5999204516551989829.mp3,Series,Not Available,الملخص الفقهي,Not Available,الثالث,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٣ / ٣ / ١٤٤٧,10.10.2025,12:42,Fiqh,none
Mp3 Editor_251010203747.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الرابع,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٤ / ٣ / ١٤٤٧,10.10.2025,14:43,Aqeedah,none
Mp3 Editor_251010204311.mp3,Series,Not Available,الملخص الفقهي,Not Available,الرابع,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٥ / ٣ / ١٤٤٧,10.10.2025,11:58,Fiqh,none
Mp3 Editor_251010204807.mp3,Series,Not Available,الأفنان الندية,باب الربا,الحادي عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,10.10.2025,23:24,Fiqh,Arabic date not found
Mp3 Editor_251010205658.mp3,Series,Not Available,الأفنان الندية,باب الربا والقرض,الثاني عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,10.10.2025,10:37,Fiqh,Arabic date not found
Mp3 Editor_251010210205.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب النكاح (٣),الرابع والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,10.10.2025,24:59,Hadeeth,Arabic date not found
Mp3 Editor_251010210714.mp3,Khutba,النعم في السعودية,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,الجمعة ٤ / ٤ / ١٤٤٧,10.10.2025,07:44,Other,none
Mp3 Editor_251010212128.mp3,Khutba,الرحمة بالمستأجرين,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,الجمعة ١٨/ ٤ / ١٤٤٧,10.10.2025,09:08,Other,none
Mp3 Editor_251013151759.mp3,Series,Not Available,التفسير الميسر,Not Available,الثالث,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,٢٨ / ٣ / ١٤٤٧,13.10.2025,06:40,Other,none
Mp3 Editor_251013152911.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب الطهارة,الأول من أول,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٨ / ٣ / ١٤٤٧,13.10.2025,46:46,Hadeeth,none
Mp3 Editor_251013230959.mp3,Series,Not Available,شرح السنة,Not Available,الثاني,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٨ / ٣ / ١٤٤٧,14.10.2025,58:31,Aqeedah,none
Mp3 Editor_251013232021.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,الثاني,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٢٩ / ٣ / ١٤٤٧,14.10.2025,36:30,Hadeeth,none
Mp3 Editor_251013232558.mp3,Series,Not Available,الأفنان الندية,باب السلم والقرض,الثالث عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,13:02,Fiqh,Arabic date not found
Mp3 Editor_251013233321.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الخامس,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٩ / ٣ / ١٤٤٧,14.10.2025,10:35,Aqeedah,none
Mp3 Editor_251013233847.mp3,Series,Not Available,الملخص الفقهي,Not Available,الخامس,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٣٠ / ٣ / ١٤٤٧,14.10.2025,15:41,Fiqh,none
AUD-20251012-WA0011.m4a,Series,Not Available,الأفنان الندية,باب السلم والقرض,الرابع عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,23:00,Fiqh,Arabic date not found
Mp3 Editor_251015085009.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,Not Available,الثالث,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,٦ / ٤ / ١٤٤٧,15.10.2025,42:13,Hadeeth,none
Mp3 Editor_251015092648.mp3,Series,Not Available,التفسير الميسر,سورة النازعات,الرابع,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,٥ / ٤ / ١٤٤٧,15.10.2025,12:46,Other,none
Mp3 Editor_251015104410.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,السادس,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٦ / ٤ / ١٤٤٧,15.10.2025,12:05,Aqeedah,none
Mp3 Editor_251015104815.mp3,Series,Not Available,منظومة سلم الوصول,Not Available,السادس,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,28:58,Aqeedah,Arabic date not found
Mp3 Editor_251015105458.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,السابع,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٧ / ٤ / ١٤٤٧,15.10.2025,14:05,Aqeedah,none
Mp3 Editor_251015105923.mp3,Series,Not Available,الملخص الفقهي,Not Available,السادس,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٧ / ٤ / ١٤٤٧,15.10.2025,08:34,Fiqh,none
Mp3 Editor_251015221637.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب النكاح (٤),الخامس والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,19:26,Hadeeth,Arabic date not found
Mp3 Editor_251015222016.mp3,Series,Not Available,الملخص الفقهي,Not Available,السابع,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٩ / ٤ / ١٤٤٧,16.10.2025,13:12,Fiqh,none
AUD-20251012-WA0020.m4a,Khutba,وقفات مع السيرة النبوية(١),Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,الجمعة ١١/ ٤ / ١٤٤٧,16.10.2025,11:04,Other,none
Mp3 Editor_251015223341.mp3,Series,Not Available,شرح السنة,Not Available,الثالث,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٢ / ٤ / ١٤٤٧,16.10.2025,59:21,Aqeedah,none
Mp3 Editor_251015223639.mp3,Series,Not Available,التفسير الميسر,Not Available,الخامس,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,١٢ / ٤ / ١٤٤٧,16.10.2025,04:40,Other,none
Mp3 Editor_251015223832.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الثامن,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٣ / ٤ / ١٤٤٧,16.10.2025,06:59,Aqeedah,none
Mp3 Editor_251015224410.mp3,Series,Not Available,الأفنان الندية,باب الكتابة والإشهاد والرهن في المعاملة,الخامس عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,14:15,Fiqh,Arabic date not found
Mp3 Editor_251015225547.mp3,Series,Not Available,الملخص الفقهي,Not Available,الثامن,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٤ / ٤ / ١٤٤٧,16.10.2025,09:58,Fiqh,none
Mp3 Editor_251015230010.mp3,Series,Not Available,الأفنان الندية,باب الرهن,السادس عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,13:16,Fiqh,Arabic date not found
Mp3 Editor_251017120729.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,التاسع,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٥ / ٤ / ١٤٤٧,17.10.2025,06:47,Aqeedah,none
AUD-20251012-WA0033.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,كتاب النكاح (٥),السادس والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,16:15,Hadeeth,Arabic date not found
Mp3 Editor_251017121802.mp3,Series,Not Available,الملخص الفقهي,Not Available,التاسع,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,١٦ / ٤ / ١٤٤٧,17.10.2025,08:25,Fiqh,none
Mp3 Editor_251017122120.mp3,Series,Not Available,التفسير الميسر,سورة عبس,السادس,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,١٩ / ٤ / ١٤٤٧,17.10.2025,07:15,Other,none
Mp3 Editor_251017122807.mp3,Series,Not Available,شرح السنة,Not Available,الرابع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,١٩ / ٤ / ١٤٤٧,17.10.2025,1:06,Aqeedah,none
AUD-20251012-WA0037.m4a,Series,Not Available,الأفنان الندية,باب الحوالة والضمان,السابع عشر,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,16:31,Fiqh,Arabic date not found
Mp3 Editor_251017153618.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,العاشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٠ / ٤ / ١٤٤٧,17.10.2025,09:22,Aqeedah,none
Mp3 Editor_251017153959.mp3,Series,Not Available,الملخص الفقهي,Not Available,العاشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢١ / ٤ / ١٤٤٧,17.10.2025,05:16,Fiqh,none
Mp3 Editor_251017165500.mp3,Series,Not Available,منظومة سلم الوصول,Not Available,السابع,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,24:03,Aqeedah,Arabic date not found
Mp3 Editor_251017170123.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,كتاب التوحيد,الحادي عشر,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,٢٢ / ٤ / ١٤٤٧,17.10.2025,07:50,Aqeedah,none
