TelegramFileName,Type,Topic,SeriesName,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
مفاسد المظاهرات.m4a,Khutba,#خطبة_الجمعة,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,03.10.2025,Friday,14:56,Other,Khutba Detection,none
Not Available,Khutba,Not Available,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,30 شعبان 1438,03.10.2025,Friday,Not Available,Other,Khutba Detection,none
قناة مجالس العلم النافع – خطر المظاهرات في الإسلام,Unknown,Not Available,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,03.10.2025,Friday,18:58,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
Not Available,Series,Not Available,الملخص شرح كتاب التوحيد,التوحيد,Not Available,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,07.10.2025,Tuesday,Not Available,Aqeedah,Schedule (Tuesday),none
Not Available,Series,Not Available,معارج القبول شرح منظومة سلم الوصول,Not Available,Not Available,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,07.10.2025,Tuesday,Not Available,Aqeedah,Schedule (Tuesday),none
4_5992475423785622177 (1).mp3,Unknown,Not Available,Not Available,النكاح (١),الثاني والتسعون,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,07.10.2025,Tuesday,13:34,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
4_5996911497937164125.mp3,Unknown,Not Available,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,٢٧/  ٠٣/ ١٤٤٧,08.10.2025,Wednesday,08:23,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
4_5996911497937164163.mp3,Unknown,Not Available,Not Available,Not Available,الاول في,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,08.10.2025,Wednesday,13:02,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
4_5996911497937164203.mp3,Unknown,Not Available,Not Available,التوحيد,الأول  بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,08.10.2025,Wednesday,14:48,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
4_5996911497937164265.mp3,Unknown,Not Available,Not Available,الربا -,العاشر عن,Not Available,Online,حسن بن محمد منصور الدغريري,Not Available,08.10.2025,Wednesday,18:36,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: Online)"
