SeriesName,Location,DaysTaught,ClassesPerWeek,Category,OriginalAuthor,LessonSeq,RecordingDate,DayOfWeek,Serial,SubTopic,TelegramFileName,Type,Topic,DateInArabic,ClipLength,doubtsStatus
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,1,2025-10-03,Friday,Not Available,Not Available,مفاسد المظاهرات.m4a,Khutba,مفاسد المظاهرات,١٧ جمادى الآخرة ١٤٤٠هـ,14:56,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,2,2025-10-03,Friday,Not Available,Not Available,قناة مجالس العلم النافع – خطر المظاهرات في الإسلام,Lecture,خطر المظاهرات في الإسلام,٢٠٢٥/١٠/٠٣,18:58,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,3,2025-10-08,Wednesday,Not Available,Not Available,4_5996911497937164125.mp3,Khutba,حقوق كبار السن,الجمعة ٢٧/ ٠٣/ ١٤٤٧,08:23,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,4,2025-10-10,Friday,Not Available,Not Available,Mp3 Editor_251010210714.mp3,Khutba,النعم في السعودية,الجمعة ٤ / ٤ / ١٤٤٧,07:44,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,5,2025-10-10,Friday,Not Available,Not Available,Mp3 Editor_251010212128.mp3,Khutba,الرحمة بالمستأجرين,الجمعة ١٨/ ٤ / ١٤٤٧,09:08,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,6,2025-10-16,Thursday,Not Available,Not Available,AUD-20251012-WA0020.m4a,Khutba,وقفات مع السيرة النبوية(١),الجمعة ١١/ ٤ / ١٤٤٧,11:04,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,7,2025-10-17,Friday,Not Available,Not Available,AUD-20251017-WA0000.m4a,Khutba,وقفات مع السيرة النبوية(٢),الجمعة ٢٥/ ٤ / ١٤٤٧,09:44,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,8,2025-10-23,Thursday,Not Available,كتاب ﴿,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,38:42,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,9,2025-10-23,Thursday,Not Available,كتاب ﴿,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,22:36,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,10,2025-10-23,Thursday,Not Available,كتاب ﴿,التعليق_على_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_zos88VZk4dU.m4a,Series,Not Available,Not Available,27:12,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,11,2025-10-23,Thursday,Not Available,كتاب ﴿,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,45:14,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,12,2025-10-23,Thursday,Not Available,كتاب ﴿,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,26:21,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,13,2025-10-23,Thursday,Not Available,كتاب ﴿,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,26:21,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,14,2025-10-23,Thursday,Not Available,كتاب ﴿,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,27:47,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,15,2025-10-23,Thursday,Not Available,كتاب ﴿,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,29:10,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,16,2025-10-23,Thursday,Not Available,كتاب ﴿,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,33:18,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,17,2025-10-26,Sunday,الأول,Not Available,Mp3 Editor_251026014231.mp3,Series,Not Available,٢٦ / ٤ / ١٤٤٧,48:16,Series name not clearly identified
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,18,2025-10-26,Sunday,Not Available,Not Available,AUD-20251026-WA0003.m4a,Khutba,وقفات مع السيرة النبوية(٣),الجمعة ٥/ ٢ / ١٤٤٧,10:45,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,19,2025-10-26,Sunday,الثاني,Not Available,Mp3 Editor_251026073039.mp3,Series,Not Available,٣ / ٥ / ١٤٤٧,1:08,Series name not clearly identified
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,20,2025-11-28,Friday,Not Available,Not Available,Not Available,Khutba,Not Available,Not Available,Not Available,Topic not clearly identified; Arabic date not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,21,2025-11-28,Friday,Not Available,Not Available,AUDIO-2025-11-28-23-15-18.m4a,Khutba,السيرة النبوية (٦),٧ / ٦ / ١٤٤٧هـ,12:16,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,22,2025-12-02,Tuesday,Not Available,Not Available,AUD-20251201-WA0005.mp3,Series,Not Available,٢٢ / ٥ / ١٤٤٧هـ,08:17,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,23,2025-12-02,Tuesday,الرابع,Not Available,Mp3 Editor_251202161629.mp3,Series,Not Available,٢٤ / ٥ / ١٤٤٧,1:03,Series name not clearly identified
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,24,2025-12-08,Monday,Not Available,Not Available,Ringtone_AUD-20251207-WA0004.mp3,Khutba,أهمية النزاهة والأمانة، ومكافحة الفساد المالي,1447/6/14هـ,10:07,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,25,2025-12-08,Monday,الخامس,Not Available,AUD-20251208-WA0004.m4a,Series,Not Available,٨ / ٦ / ١٤٤٧,34:44,Series name not clearly identified
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,26,2025-12-08,Monday,السادس,Not Available,AUD-20251208-WA0005.m4a,Series,Not Available,١٦ / ٦ / ١٤٤٧,56:16,Series name not clearly identified
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,27,2025-12-09,Tuesday,الثالث,Not Available,AUD-20251111-WA0001.m4a,Series,Not Available,١٧ / ٥ / ١٤٤٧,41:24,Series name not clearly identified
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,28,2025-12-13,Saturday,Not Available,Not Available,AUD-20251213-WA0011.m4a,Khutba,وقفات مع السيرة النبوية (٤),الجمعة ١٦ / ٥ / ١٤٤٧,10:39,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,29,2025-12-13,Saturday,Not Available,Not Available,AUD-20251213-WA0012.mp3,Khutba,وقفات مع السيرة النبوية (٥),الجمعة ٢٣ / ٥ / ١٤٤٧,09:49,none
Unknown,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Other,Not Available,30,2025-12-13,Saturday,Not Available,Not Available,AUD-20251213-WA0013.m4a,Khutba,(( عناية الإسلام بالمرأة )),الجمعة ٢١ / ٦ / ١٤٤٧,10:17,none
