SeriesName,Location,DayOfWeek,Category,OriginalAuthor,LessonSeq,RecordingDate,Serial,SubTopic,TelegramFileName,Type,Topic,DateInArabic,ClipLength,doubtsStatus
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,1,2025-10-09,الثالث والتسعون,كتاب النكاح (٢),4_5996911497937164392.mp3,Series,Not Available,Not Available,17:24,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,2,2025-10-16,الخامس والتسعون,كتاب النكاح (٤),Mp3 Editor_251015221637.mp3,Series,Not Available,Not Available,19:26,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,3,2025-10-23,Not Available,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,29 رجب 1437 ه,Not Available,Serial number not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,4,2025-10-23,Not Available,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,5,2025-10-23,Not Available,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,6,2025-10-23,Not Available,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,7,2025-10-23,Not Available,كتاب الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,8,2025-10-23,Not Available,كتاب الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,9,2025-10-23,Not Available,كتاب الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,29 رجب 1437 ه,Not Available,Serial number not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,10,2025-10-23,Not Available,كتاب الطهارة,Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
