TelegramFileName,Type,Topic,SeriesName,SequenceInSeries,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,1,التوحيد,Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,07.10.2025,Tuesday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Tuesday (expected: Sunday, Monday)"
4_5992475423785622177 (1).mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,2,النكاح (١),الثاني والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,07.10.2025,Tuesday,13:34,Hadeeth,Manual-style (1),"Day mismatch: Tuesday (expected: Sunday, Monday)"
4_5996911497937164392.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,3,النكاح (٢),الثالث والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,09.10.2025,Thursday,17:24,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Mp3 Editor_251010210205.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,4,النكاح (٣),الرابع والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,10.10.2025,Friday,24:59,Hadeeth,Manual-style (1),"Day mismatch: Friday (expected: Sunday, Monday)"
Mp3 Editor_251013152911.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,5,الطهارة,الأول  من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,13.10.2025,Monday,46:46,Hadeeth,Manual-style (1),none
Mp3 Editor_251013232021.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,6,Not Available,الثاني  بجامع,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,Tuesday,36:30,Hadeeth,Manual-style (1),"Day mismatch: Tuesday (expected: Sunday, Monday)"
Mp3 Editor_251015085009.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,7,Not Available,الثالث  بجامع,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,Wednesday,42:13,Hadeeth,Manual-style (1),"Day mismatch: Wednesday (expected: Sunday, Monday)"
Mp3 Editor_251015221637.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,8,النكاح (٤),الخامس والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,Thursday,19:26,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
AUD-20251012-WA0033.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,9,النكاح (٥),السادس والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,Friday,16:15,Hadeeth,Manual-style (1),"Day mismatch: Friday (expected: Sunday, Monday)"
AUD-20251015-WA0055.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,10,النكاح (٦),السابع والتسعون,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,Friday,22:15,Hadeeth,Manual-style (1),"Day mismatch: Friday (expected: Sunday, Monday)"
