SeriesName,Location,DayOfWeek,Category,Author,LessonNumber,RecordingDate,TelegramFileName,Type,Topic,SubTopic,Serial,DateInArabic,DateInGreg,ClipLength,doubtsStatus
Unknown,جامع الورود,Saturday,Other,Not Available,1,2025-11-29,AUD-20251129-WA0017.m4a,Series,Not Available,Not Available,الأول,١٧ / ٥ / ١٤٤٧,30.11.2025,42:51,Series name not clearly identified; Original author not found
Unknown,جامع الورود,Saturday,Other,Not Available,2,2025-12-13,AUD-20251213-WA0011.m4a,Khutba,وقفات مع السيرة النبوية (٤),Not Available,Not Available,الجمعة ١٦ / ٥ / ١٤٤٧,13.12.2025,10:39,none
Unknown,جامع الورود,Saturday,Other,Not Available,3,2025-12-13,AUD-20251213-WA0012.mp3,Khutba,وقفات مع السيرة النبوية (٥),Not Available,Not Available,الجمعة ٢٣ / ٥ / ١٤٤٧,13.12.2025,09:49,none
Unknown,جامع الورود,Saturday,Other,Not Available,4,2025-12-13,AUD-20251213-WA0013.m4a,Khutba,(( عناية الإسلام بالمرأة )),Not Available,Not Available,الجمعة ٢١ / ٦ / ١٤٤٧,13.12.2025,10:17,none
Unknown,جامع الورود,Saturday,Other,Not Available,5,2025-12-27,AUDIO-2025-12-27-10-21-24.m4a,Series,Not Available,Not Available,الثاني,٧ / ٧ / ١٤٤٧,28.12.2025,43:18,Series name not clearly identified
Unknown,جامع الورود,Saturday,Other,Not Available,6,2025-12-27,AUDIO-2025-12-27-10-21-24.m4a,Series,Not Available,Not Available,الثاني,٧ / ٧ / ١٤٤٧,28.12.2025,37:48,Series name not clearly identified; Original author not found
Unknown,جامع الورود,Saturday,Other,Not Available,7,2025-12-27,AUDIO-2025-12-27-10-25-24.m4a,Series,Not Available,كتاب سبل السلام من الفوائد والأحكام,الثاني من كتاب الطهارة,٧ / ٧ / ١٤٤٧,28.12.2025,1:11,Series name not clearly identified
Unknown,جامع الورود,Saturday,Other,Not Available,8,2025-12-27,AUDIO-2025-12-27-19-33-23.m4a,Series,Not Available,كتاب التعليقات البهية على الرسائل العقدية) بجامع الورود,Not Available,٧ /٧/ ١٤٤٧,28.12.2025,1:04,Series name not clearly identified; Serial number not found
Unknown,جامع الورود,Saturday,Other,Not Available,9,2025-12-27,AUDIO-2025-12-27-19-36-27.m4a,Series,Not Available,Not Available,السابع,٧ /٧ /١٤٤٧,28.12.2025,26:55,Series name not clearly identified; Original author not found
Unknown,جامع الورود,Saturday,Other,Not Available,10,2026-01-03,AUD-20260103-WA0003.opus,Series,Not Available,Not Available,Not Available,Not Available,03.01.2026,34:23,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,Saturday,Other,Not Available,11,2026-01-03,AUDIO-2026-01-03-09-52-35.m4a,Series,Not Available,Not Available,الثاني,١٤/ ٧ / ١٤٤٧,03.01.2026,36:08,Series name not clearly identified; Original author not found
Unknown,جامع الورود,Saturday,Other,Not Available,12,2026-01-03,AUDIO-2026-01-03-09-53-46.m4a,Series,Not Available,Not Available,الثالث,١٤ /٧ / ١٤٤٧,03.01.2026,44:09,Series name not clearly identified
Unknown,جامع الورود,Saturday,Other,Not Available,13,2026-01-17,AUDIO-2026-01-17-14-52-58.m4a,Series,Not Available,كتاب سبل السلام من الفوائد والأحكام,الرابع من كتاب الطهارة,٢٨ /٧ /١٤٤٧,17.01.2026,43:41,Series name not clearly identified
Unknown,جامع الورود,Saturday,Other,Not Available,14,2026-01-17,AUDIO-2026-01-17-14-54-56.m4a,Series,Not Available,Not Available,الثالث,٢٨/ ٧ / ١٤٤٧,17.01.2026,27:14,Series name not clearly identified; Original author not found
Unknown,جامع الورود,Saturday,Other,Not Available,15,2026-01-17,AUDIO-2026-01-17-14-56-45.m4a,Series,Not Available,Not Available,الرابع,٢٨ /٧ / ١٤٤٧,17.01.2026,37:06,Series name not clearly identified
Unknown,جامع الورود,Saturday,Other,Not Available,16,2026-01-17,AUDIO-2026-01-17-21-35-58.m4a,Series,Not Available,Not Available,الثامن,٢٨ /٧ /١٤٤٧,17.01.2026,20:37,Series name not clearly identified; Original author not found
Unknown,جامع الورود,Saturday,Other,Not Available,17,2026-01-17,AUDIO-2026-01-17-21-42-37.m4a,Series,Not Available,Not Available,Not Available,٢٨ /٧ /١٤٤٧,17.01.2026,51:16,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found
Unknown,جامع الورود,Monday,Other,Not Available,1,2025-12-01,AUD-20251201-WA0005.mp3,Series,Not Available,Not Available,Not Available,٢٢ / ٥ / ١٤٤٧هـ,02.12.2025,08:17,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found
Unknown,جامع الورود,Monday,Other,Not Available,2,2025-12-08,AUD-20251208-WA0001.m4a,Series,Not Available,Not Available,الرابع,١٦ / ٦ / ١٤٤٧,08.12.2025,32:50,Series name not clearly identified; Original author not found
