SequenceInSeries,SeriesName,Location,DayOfWeek,RecordingDate,TelegramFileName,Type,Topic,SubTopic,Serial,OriginalAuthor,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,MatchedBy,doubtsStatus
1,Unknown,جامع الورود,Friday,2025-10-03,مفاسد المظاهرات.m4a,Khutba,#خطبة_الجمعة,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,03.10.2025,14:56,Other,Khutba Detection,none
2,Unknown,جامع الورود,Friday,2025-10-03,Not Available,Khutba,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,30 شعبان 1438,03.10.2025,Not Available,Other,Khutba Detection,none
3,Unknown,جامع الورود,Friday,2025-10-03,قناة مجالس العلم النافع – خطر المظاهرات في الإسلام,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,Not Available,03.10.2025,18:58,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
4,Unknown,جامع الورود,Wednesday,2025-10-08,4_5996911497937164125.mp3,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٢٧/  ٠٣/ ١٤٤٧,08.10.2025,08:23,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
5,Unknown,جامع الورود,Wednesday,2025-10-08,4_5996911497937164163.mp3,Unknown,Not Available,Not Available,الاول في,Not Available,حسن بن محمد منصور الدغريري,Not Available,08.10.2025,13:02,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
6,Unknown,جامع الورود,Thursday,2025-10-09,4_5999163297750849130.mp3,Unknown,Not Available,Not Available,الأول  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,09.10.2025,11:05,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
7,Unknown,جامع الورود,Thursday,2025-10-09,4_5999163297750849343.mp3,Unknown,Not Available,Not Available,الثاني في,Not Available,حسن بن محمد منصور الدغريري,Not Available,09.10.2025,17:29,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
8,Unknown,جامع الورود,Friday,2025-10-10,Mp3 Editor_251010051137.mp3,Unknown,Not Available,Not Available,الثاني  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,10.10.2025,10:03,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
9,Unknown,جامع الورود,Friday,2025-10-10,4_5999204516551989829.mp3,Unknown,Not Available,Not Available,الثالث  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,10.10.2025,12:42,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
10,Unknown,جامع الورود,Friday,2025-10-10,Mp3 Editor_251010204311.mp3,Unknown,Not Available,Not Available,الرابع  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,10.10.2025,11:58,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
11,Unknown,جامع الورود,Friday,2025-10-10,Mp3 Editor_251010210714.mp3,Khutba,النعم في السعودية.,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٤ / ٤ / ١٤٤٧,10.10.2025,07:44,Other,Khutba Detection,none
12,Unknown,جامع الورود,Friday,2025-10-10,Mp3 Editor_251010212128.mp3,Khutba,الرحمة بالمستأجرين.,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,١٨/ ٤ / ١٤٤٧,10.10.2025,09:08,Other,Khutba Detection,none
13,Unknown,جامع الورود,Monday,2025-10-13,Mp3 Editor_251013151759.mp3,Unknown,Not Available,Not Available,الثالث في,Not Available,حسن بن محمد منصور الدغريري,Not Available,13.10.2025,06:40,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
14,Unknown,جامع الورود,Tuesday,2025-10-14,Mp3 Editor_251013230959.mp3,Unknown,Not Available,Not Available,الثاني  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,58:31,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
15,Unknown,جامع الورود,Tuesday,2025-10-14,Mp3 Editor_251013232021.mp3,Unknown,Not Available,Not Available,الثاني  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,36:30,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
16,Unknown,جامع الورود,Tuesday,2025-10-14,Mp3 Editor_251013233847.mp3,Unknown,Not Available,Not Available,الخامس  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,15:41,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
17,Unknown,جامع الورود,Wednesday,2025-10-15,Mp3 Editor_251015085009.mp3,Unknown,Not Available,Not Available,الثالث  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,42:13,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
18,Unknown,جامع الورود,Wednesday,2025-10-15,Mp3 Editor_251015092648.mp3,Unknown,Not Available,Not Available,الرابع في,Not Available,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,12:46,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
19,Unknown,جامع الورود,Thursday,2025-10-16,Mp3 Editor_251015222016.mp3,Unknown,Not Available,Not Available,السابع بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,13:12,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
20,Unknown,جامع الورود,Thursday,2025-10-16,AUD-20251012-WA0020.m4a,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,١١/ ٤ / ١٤٤٧,16.10.2025,11:04,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
21,Unknown,جامع الورود,Thursday,2025-10-16,Mp3 Editor_251015223341.mp3,Unknown,Not Available,Not Available,الثالث  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,59:21,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
22,Unknown,جامع الورود,Thursday,2025-10-16,Mp3 Editor_251015223639.mp3,Unknown,Not Available,Not Available,الخامس في,Not Available,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,04:40,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
23,Unknown,جامع الورود,Thursday,2025-10-16,Mp3 Editor_251015225547.mp3,Unknown,Not Available,Not Available,الثامن بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,09:58,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
24,Unknown,جامع الورود,Friday,2025-10-17,Mp3 Editor_251017121802.mp3,Unknown,Not Available,Not Available,التاسع بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,08:25,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
25,Unknown,جامع الورود,Friday,2025-10-17,Mp3 Editor_251017122120.mp3,Unknown,Not Available,Not Available,السادس في,Not Available,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,07:15,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
